word,RT,drift_score
अखिलेश,823.831578992557,0.4520643949508667
अगरबत्ती,657.680645168519,0.4701911211013794
अगला,786.209090920899,0.4786074161529541
अगस्त,713.267857136987,0.442124605178833
अगुवाई,769.508695670488,0.5654188394546509
अग्निपथ,761.239285708904,0.6209129095077515
अग्र,959.665517254921,0.645343542098999
अग्रज,772.368181850042,0.5086795091629028
अग्रणी,786.269230767207,0.5196720957756042
अग्रदूत,1039.4999999601,0.496172547340393
अग्रसर,691.410714306382,0.3979713320732116
अचानक,641.151851834729,0.5652762651443481
अचूक,618.816666683023,0.4511744976043701
अच्छा,581.527777826465,0.3004788160324096
अच्छाई,613.114285729035,0.4034773707389831
अच्छी,599.228571441074,0.3737639188766479
अच्छे,577.173333320285,0.3439536094665527
अच्छों,664.513793098596,0.4030962586402893
अछूता,766.156666672241,0.7194142937660217
अजन्मे,911.099999994633,0.4471678137779236
अजान,749.483333325266,0.3415403366088867
अजीज,867.35769228236,0.4911694526672363
अजीत,724.757692292897,0.5375699400901794
अजीबो,874.187500018268,0.6242913007736206
अजेय,744.864000037247,0.6515557765960693
अज्ञान,706.018181824817,0.3530811071395874
अज्ञानतावश,1037.98181818581,0.3774772882461548
अज्ञानी,688.071875003003,0.3634108304977417
अटकलें,868.859259208423,0.5784338116645813
अटकाने,940.830769191012,0.4348461627960205
अटकी,727.634482738289,0.4151357412338257
अटपटा,782.674193562084,0.4519665241241455
अटल,641.016666648219,0.5177236795425415
अटूट,670.31999998908,0.612234354019165
अटैची,800.446428586933,0.7020436525344849
अठन्नी,780.092592605053,0.5248656272888184
अड़,728.977272727236,0.4528902769088745
अड़चन,843.839393952047,0.5063350200653076
अड़ा,784.866101672877,0.4553402066230774
अड्डा,607.70689653541,0.5005136728286743
अड्डों,677.23214283914,0.4235936999320984
अता,598.814285677459,0.5103357434272766
अतिक्रमण,814.044117618955,0.6496355533599854
अतिशय,846.18148142158,0.7824136018753052
अतीत,646.651724150051,0.4403781294822693
अतुल्य,692.825000006214,0.4313547611236572
अत्याचारी,706.996774203742,0.2830235958099365
अथक,697.913043508061,0.5288363695144653
अथाह,1052.10869564545,0.5304899215698242
अदरक,680.165517243236,0.4507374167442322
अदाकार,738.117391315501,0.3187801837921142
अदायगी,835.994999996497,0.6105040311813354
अदालत,631.992592603287,0.4460062980651855
अदूरदर्शिता,1186.74090911304,0.4448130130767822
अदूरदर्शी,1021.51500002783,0.4854524135589599
अद्भुत,651.241666654185,0.3498887419700622
अधिकतर,748.610000009213,0.4990391731262207
अधिकता,796.39411768624,0.4919360280036926
अधिकृत,779.455172408372,0.5219526290893555
अधिग्रहण,796.592592594455,0.4998106956481933
अधिनायक,841.74482758731,0.4491180777549743
अधिवेशन,877.603703662408,0.6267071962356567
अधीन,639.364000000162,0.5652862787246704
अधूरे,683.044444452212,0.5697365999221802
अध्यक्ष,649.194736848224,0.4274091720581054
अध्यक्षता,738.621212120889,0.5513542890548706
अध्यक्षा,769.161290303248,0.5282560586929321
अध्ययन,701.446875024005,0.3724465370178222
अध्यादेश,846.761111089856,0.5002946853637695
अध्याय,697.048275844692,0.42351233959198
अनंत,673.027272741254,0.6022810339927673
अनछुए,877.095999989379,0.4776700735092163
अनजाने,725.875757549092,0.4478548765182495
अनन्य,736.78999998027,0.3860301971435547
अनबन,777.540909091196,0.5144885182380676
अनर्गल,1011.06666679208,0.4518959522247314
अनर्थ,744.989655195494,0.4618635773658752
अनवरत,903.023076947492,0.4910131096839905
अनसुलझे,930.373913055266,0.4389147758483886
अनहोनी,717.56666668294,0.6096636652946472
अनाज,639.629629638727,0.4443613290786743
अनाथों,741.976923072138,0.5102649927139282
अनादि,925.563157920137,0.4291430115699768
अनामिका,806.392105258756,0.5518345236778259
अनार,634.912903219935,0.5833161473274231
अनावश्यक,797.403703693852,0.4986190795898437
अनिवार्य,665.77837838437,0.4755778312683105
अनिश्चित,678.021212104701,0.6287988424301147
अनुकरण,704.541379300528,0.3683993220329284
अनुकूल,694.773529421264,0.395729660987854
अनुज,693.75517241156,0.5442996025085449
अनुदान,717.635294145343,0.519068717956543
अनुदेशक,974.729629626342,0.5490992665290833
